index,id_local,desc_barrio_local,clase_vial_edificio,desc_vial_edificio,num_edificio,rotulo,desc_epigrafe
46763,280053178,OPAÑEL,CALLE,ANTOÑITA JIMENEZ,37,COBO COCINAS,"ACTIVIDADES DE CREACION, ARTISTICAS Y ESPECTACULOS"
46773,270038638,PALACIO,PLAZA,PUERTA CERRADA,6,CERVECERIA 100 MONTADITOS,RESTAURANTE
46774,270038638,PALACIO,PLAZA,PUERTA CERRADA,6,CERVECERIA 100 MONTADITOS,RESTAURANTES DE COMIDA RAPIDA
46780,270220584,GOYA,CALLE,AYALA,112,LA FLOR DE GALICIA RESTAURANTE,RESTAURANTE
46785,270220905,NUEVA ESPAÑA,PASEO,CASTELLANA,210,VOLAPIE,BAR CON COCINA
46800,270039063,PALACIO,CALLE,DON PEDRO,14,COLEGIO SAGRADO CORAZÓN,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46802,270039124,PALACIO,CALLE,MORERIA,8,RESTAURANTE RAYUELLA,RESTAURANTE
46803,270039200,PALACIO,TRAVESIA,VISTILLAS,13,EL TORMO,RESTAURANTE
46811,270178886,PINAR DEL REY,CALLE,QUILICHAO,6,ASADOR DE POLLOS DOVER,BAR CON COCINA
46812,270178908,PINAR DEL REY,CALLE,IMPALA,17,BAR LA PARADA,BAR SIN COCINA
46814,270179011,PINAR DEL REY,CALLE,BOYACA,10,BAR CAFETERIA LA PERDIZ,CAFETERIA
46826,270179281,PINAR DEL REY,CALLE,SANTA VIRGILIA,3,BAR LOS ARCOS,BAR ESPECIAL SIN ACTUACIONES
46829,270179395,PINAR DEL REY,CALLE,SANTA VIRGILIA,1,CAPUCCINO BAR CAFETERIA,BAR RESTAURANTE
46830,270179478,PINAR DEL REY,CALLE,SANTA SUSANA,28,BAR HELADERÍA DOLOMITI,BAR CON COCINA
46834,270179660,PINAR DEL REY,CALLE,MIRANDA DE ARGA,16,BAR PARRAS,BAR CON COCINA
46838,270179874,PINAR DEL REY,CALLE,CALASPARRA,1,COSTA VERDE,BAR RESTAURANTE
46842,270180205,APOSTOL SANTIAGO,CALLE,SOMONTIN,63,CERVECERÍA CAFETERIA LOLO,CAFETERIA
46853,270221176,BERRUGUETE,CALLEJON,SAN RAFAEL,2,ONDIÑAS DO MENDO,BAR RESTAURANTE
46864,270180718,SAN ANDRES,PASEO,ALBERTO PALACIOS,73,CAFE BAR MANOLO,BAR CON COCINA
46868,270039338,PALACIO,CALLE,SAN BERNABE,13,V.O.T. DE N.P.S. FRANCISCO,SERVICIOS DE PREPARACIÓN DE COMIDAS EN HOSPITALES
46870,270039385,PALACIO,CALLE,TOLEDO,106,LOS CARACOLES,BAR CON COCINA
46877,270221352,TRAFALGAR,CALLE,ELOY GONZALO,4,JLEOS,BAR RESTAURANTE
46880,270221489,RIOS ROSAS,CALLE,MAUDES,1,KEBAB LAZIKA,BAR RESTAURANTE
46881,270221528,EL PARDO,PLAZA,EL PARDO,2,EL TIO ANTONIO,BAR CON COCINA
46883,270221630,ARGUELLES,CUESTA,SAN VICENTE,22,BAR LA CUEVA,BAR CON COCINA
46888,270221902,VISTA ALEGRE,CALLE,HALCON,22,JAMONES ANDRES BECERRO E HIJOS SL,BAR SIN COCINA
46898,280053255,OPAÑEL,CALLE,GENERAL RICARDOS,33,LOTERIAS ADMIN N 12,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)
46901,280053270,OPAÑEL,CALLE,TOMAS MEABE,3,CASON DEL JAMON,BAR CON COCINA
46904,270039608,EMBAJADORES,CALLE,SANTA ANA,25,LA GLORIA DEL ACEBO,CAFETERIA
46905,270039652,EMBAJADORES,CALLE,MALDONADAS,1,CERVECERIA CRUZ,BAR RESTAURANTE
46907,270039696,CORTES,PLAZA,SANTA ANA,2,LA BOMBILLA,RESTAURANTE
46908,270039697,CORTES,PLAZA,SANTA ANA,2,EL TEMPLE,BAR CON COCINA
46917,270222278,NUMANCIA,AVENIDA,ALBUFERA,1,BAR EL PUENTE,BAR CON COCINA
46918,270222316,VENTAS,CALLE,JUAN DE IZIAR,1,VICENTE,BAR RESTAURANTE
46930,280053278,OPAÑEL,CALLE,GENERAL RICARDOS,19,CASA ENRIQUETA GALLINEJAS Y ENTRESIJOS,BAR CON COCINA
46939,270222449,SAN ANDRES,CALLE,GRAFITO,20,CAFETERIA BARBADOS,BAR RESTAURANTE
46940,270222449,SAN ANDRES,CALLE,GRAFITO,20,CAFETERIA BARBADOS,BAR CON COCINA
46943,270222523,CASCO H.VICALVARO,CALLE,VILLACARLOS,10,BAR LA OREJA,BAR CON COCINA
46945,270222713,ALUCHE,CALLE,ILLESCAS,109,LOTERIAS Y APUESTAS DEL ESTADO,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE)
46946,270222714,COMILLAS,PLAZA,INMACULADA CONCEPCION,1,ESCUELA INFANTIL NTRA. SRA. DE LA ENCARNACIÓN,SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL
46950,270222969,SOL,CALLE,VICTORIA,1,MUSEO DEL JAMON,BAR RESTAURANTE
46980,270062698,IBIZA,CALLE,ALCALDE SAINZ DE BARANDA,32,D´LONXE,TABERNA
46982,270062742,IBIZA,CALLE,ALCALDE SAINZ DE BARANDA,50,BAR EL PALETO,BAR RESTAURANTE
46992,270181152,SAN ANDRES,CALLE,PEDRO JIMENEZ,1,BAR LOS YEBENES,BAR CON COCINA
