index,stop_code,stop_name,stop_desc,stop_lat,stop_lon
192,30,GOYA,Calle de Alcalá 96,40.42455,-3.67591
203,31,PRINCIPE DE VERGARA,Calle de Alcalá 123,40.42294,-3.68012
207,32,RETIRO,Calle de Alcalá 81,40.42031,-3.68624
212,322,LA ALMUDENA,Calle de Arriaga 75,40.42361,-3.63914
215,323,ALSACIA,Plaza de Alsacia S/N,40.41829,-3.62351
220,324,AVENIDA DE GUADALAJARA,Avda de Guadalajara 110,40.42239,-3.61206
223,325,LAS ROSAS,Paseo de Ginebra 35,40.42375,-3.60331
226,33,BANCO DE ESPAÑA,Calle de Alcalá 49,40.41922,-3.69497
231,34,SEVILLA,Calle de Alcalá 23,40.41805,-3.69925
234,35,SOL,Plaza de la Puerta del Sol 6,40.41685,-3.70326
235,36,OPERA,Plaza de Isabel II 9,40.41809,-3.70942
239,37,SANTO DOMINGO,Calle de San Bernardo 11,40.42132,-3.70796
242,38,NOVICIADO,Calle de San Bernardo 49,40.42484,-3.70742
243,39,SAN BERNARDO,Calle de San Bernardo 94,40.43001,-3.70557
246,40,QUEVEDO,Gta de Quevedo 1,40.43322,-3.70433
249,41,CANAL,Calle de Bravo Murillo 40,40.43841,-3.70433
253,42,CUATRO CAMINOS,Gta de Cuatro Caminos 10,40.44697,-3.70392
271,267,ALMENDRALES,Avda de Córdoba 21,40.38409,-3.69788
275,268,HOSPITAL 12 DE OCTUBRE,Avda de Córdoba 49,40.37503,-3.69585
278,269,SAN FERMIN-ORCASUR,Avda de Andalucía 9,40.36999,-3.69418
282,270,CIUDAD DE LOS ANGELES,Avda de Andalucía 38,40.35959,-3.69363
286,271,VILLAVERDE BAJO CRUCE,Avda de Andalucía 38,40.35089,-3.69265
290,272,SAN CRISTOBAL,Avda de Andalucía 81,40.34154,-3.69318
294,273,VILLAVERDE ALTO,Calle del Valle de Tobalina 56,40.34123,-3.71199
299,43,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.69511
304,44,DELICIAS,Paseo de las Delicias 60,40.3999,-3.6942
309,45,PALOS DE LA FRONTERA,Calle de Palos de la Frontera 33,40.40307,-3.69423
313,46,EMBAJADORES,Gta de Embajadores 10,40.40513,-3.70268
317,47,LAVAPIES,Plaza de Lavapiés 7,40.40851,-3.7009
320,48,SOL,Plaza de la Puerta del Sol 6,40.41682,-3.70326
321,49,CALLAO,Plaza del Callao 3,40.42014,-3.70566
329,50,PLAZA DE ESPAÑA,Plaza de España 1,40.42342,-3.7112
338,51,VENTURA RODRIGUEZ,Calle de la Princesa 22,40.42709,-3.71341
342,52,ARGÜELLES,Calle de Alberto Aguilera 72,40.43066,-3.71596
349,53,MONCLOA,Plaza de la Moncloa 1,40.43502,-3.71945
356,92,Pº Esperanza,Paseo de la Esperanza 2 A,40.40376,-3.70656
374,264,HORTALEZA,Calle del Capitán Cortés 4,40.47537,-3.65257
377,265,MANOTERAS,Calle de Bacares 24,40.47687,-3.6629
380,266,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.48014,-3.66676
382,55,SAN BERNARDO,Gta de Ruiz Jiménez 5,40.42966,-3.70567
383,56,BILBAO,Calle de Sagasta 5,40.42885,-3.70114
384,57,ALONSO MARTINEZ,Plaza de Alonso Martínez 4,40.42772,-3.69594
392,59,SERRANO,Calle de Goya 19,40.42543,-3.68663
397,60,VELAZQUEZ,Calle de Núñez de Balboa 33,40.42503,-3.68292
402,61,GOYA,Calle de Goya 68,40.42481,-3.67685
403,62,LISTA,Calle del Conde de Peñalver 45,40.42917,-3.67541
406,63,DIEGO DE LEON,Calle de Diego de León 69,40.43468,-3.67495
416,64,AVENIDA DE AMERICA,Avda de América 9 A,40.43803,-3.67664
421,65,PROSPERIDAD,Plaza de la Prosperidad 4,40.44419,-3.67482
423,66,ALFONSO XIII,Calle de López de Hoyos 190,40.44825,-3.66791
